gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041435,detection_pct_0041534,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
BTN3A1,,,,no,2.885,3.29,13387,7952,0.19
BTNL2,,,,no,0.03,0.056,137,136,0.931
BTRC,,,,no,1.88,1.689,8727,4082,-0.155
BUB1,,,,no,0.451,0.357,2092,862,-0.338
BUB1B,,,,no,0.223,0.196,1036,473,-0.19
BVES,,,,no,0.108,0.138,502,334,0.353
C1QBP,,,,no,5.62,4.586,26081,11083,-0.293
C1QL3,,,,no,0.076,0.165,355,399,1.11
C1QTNF1,,,,no,0.858,0.825,3983,1993,-0.058
C1QTNF6,,,,no,1.312,1.559,6090,3767,0.248
C1QTNF9,,,,no,0.091,0.152,421,368,0.747
C1RL,,,,no,3.06,2.886,14201,6976,-0.084
C3AR1,,,,no,1.053,0.919,4886,2220,-0.197
C4A,,,,no,5.521,3.202,25624,7739,-0.786
C4B,,,,no,4.893,1.426,22710,3447,-1.779
C5,,,,no,0.19,0.373,882,902,0.974
C5AR1,,,,no,0.66,1.128,3065,2727,0.773
C6,,,,no,0.202,0.171,939,414,-0.24
C8B,hepatocyte,Hepatocyte-specific; absent from pancreatic exocrine/endocrine and lymphoid tissues.,,yes,0.039,0.08,180,194,1.049
C8G,,,,no,0.127,0.07,591,169,-0.865
C9,hepatocyte,Hepatocyte-specific; absent from pancreatic exocrine/endocrine and lymphoid tissues.,,yes,0.045,0.087,211,211,0.941
CA10,,,,no,0.039,0.077,183,186,0.965
CA12,,,,no,0.133,0.131,618,317,-0.022
CA14,,,,no,0.034,0.074,160,179,1.103
CA4,,,,no,0.309,0.197,1436,476,-0.652
CA9,,,,no,0.044,0.051,203,123,0.218
CABCOCO1,,,,no,0.095,0.151,443,364,0.658
CABP4,,,,no,0.506,0.215,2347,519,-1.236
CABYR,,,,no,0.18,0.206,837,499,0.195
CACNA1B,,,,no,0.039,0.055,183,133,0.481
CACNA1C,,,,no,0.325,0.306,1509,740,-0.087
CACNA1D,,,,no,0.104,0.082,482,198,-0.342
CACNA1G,,,,no,0.081,0.101,376,243,0.311
CACNA1H,,,,no,0.73,0.401,3387,970,-0.863
CACNA2D1,,,,no,0.821,0.739,3809,1786,-0.151
CACNG3,,,,no,0.047,0.072,219,175,0.618
CACNG4,,,,no,0.061,0.057,282,138,-0.09
CACNG5,,,,no,0.094,0.062,437,150,-0.601
CACUL1,,,,no,1.557,1.687,7226,4078,0.116
CACYBP,,,,no,1.782,1.796,8270,4341,0.011
CAD,,,,no,2.381,2.212,11050,5345,-0.107
CADM3,,,,no,0.364,0.446,1691,1078,0.292
CADM4,,,,no,1.115,0.782,5175,1889,-0.513
CALB1,,,,no,0.79,0.433,3664,1046,-0.867
CALB2,,,,no,0.054,0.063,250,153,0.233
CALCA,,,,no,0.034,0.051,157,124,0.601
CALCB,,,,no,0.202,0.317,936,765,0.65
CALCR,,,,no,0.071,0.139,329,335,0.967
CALCRL,,,,no,0.707,0.782,3279,1890,0.146
CALM3,,,,no,8.5,7.71,39448,18635,-0.141
CALML3,,,,no,0.248,0.374,1152,905,0.593
CALR3,,,,no,0.036,0.048,167,117,0.428
CAMK1,,,,no,0.733,0.576,3404,1391,-0.35
CAMK2A,,,,no,0.039,0.055,182,134,0.5
CAMK2B,,,,no,0.364,0.163,1690,393,-1.163
CAMK2D,,,,no,3.368,2.622,15631,6337,-0.361
CAMK2G,,,,no,3.396,2.603,15759,6291,-0.384
CAMK4,,,,no,8.577,6.329,39807,15296,-0.439
CAMKV,,,,no,0.027,,127,0,
CAMP,,,,no,0.118,0.272,548,657,1.203
CAMSAP2,,,,no,1.538,1.063,7140,2570,-0.533
CAND1,,,,no,5.562,4.044,25811,9773,-0.46
CANX,,,,no,7.354,4.775,34127,11541,-0.623
CAPN1,,,,no,2.081,1.517,9658,3667,-0.456
CAPN3,,,,no,0.492,0.667,2283,1613,0.44
CARD10,,,,no,0.598,0.614,2773,1485,0.04
CARD11,,,,no,6.991,5.459,32444,13193,-0.357
CARD14,,,,no,0.251,0.14,1163,339,-0.837
CARD8,,,,no,4.259,3.142,19767,7595,-0.439
CARD9,,,,no,0.106,0.068,492,164,-0.644
CARF,,,,no,1.83,2.342,8494,5660,0.356
CARM1,,,,no,1.21,1.069,5615,2583,-0.179
CARTPT,,,,no,0.08,0.128,372,309,0.674
CASC8,,,,no,0.048,0.096,221,231,1.005
CASK,,,,no,1.681,1.247,7800,3013,-0.431
CASP1,,,,no,2.138,2.158,9923,5215,0.013
CASP10,,,,no,1.731,1.67,8032,4036,-0.052
CASP2,,,,no,5.403,5.34,25076,12905,-0.017
CASP3,,,,no,3.016,3.198,13998,7729,0.084
CASP6,,,,no,1.519,1.247,7051,3013,-0.285
CASP7,,,,no,0.798,1.029,3703,2488,0.368
CASP8,,,,no,3.354,2.655,15566,6418,-0.337
CASP8AP2,,,,no,1.537,1.285,7135,3106,-0.259
CASP9,,,,no,0.967,0.979,4488,2367,0.018
CASQ2,cardiac_muscle,Cardiac-muscle-specific; not in pancreas/LN.,,yes,0.251,0.215,1165,519,-0.225
CASR,,,,no,0.161,0.121,747,293,-0.409
CASS4,,,,no,1.779,1.153,8255,2786,-0.626
CASZ1,,,,no,0.98,0.565,4547,1365,-0.795
CAT,,,,no,5.504,3.222,25545,7786,-0.773
CATSPER2,,,,no,0.266,0.31,1233,750,0.224
CAV2,,,,no,0.711,0.732,3302,1768,0.04
CAVIN2,,,,no,0.485,0.353,2253,853,-0.46
CAVIN3,,,,no,0.985,0.758,4569,1832,-0.377
CBARP,,,,no,0.049,0.056,228,135,0.185
CBFB,,,,no,3.257,3.723,15114,8998,0.193
CBL,,,,no,3.889,2.524,18049,6099,-0.624
CBLB,,,,no,3.958,2.343,18370,5663,-0.756
CBLIF,,,,no,0.055,0.13,257,315,1.235
CBLN1,,,,no,0.12,0.121,558,292,0.007
CBLN3,,,,no,1.436,0.567,6666,1370,-1.341
CBLN4,,,,no,0.064,0.151,298,364,1.23
CBR1,,,,no,1.263,0.758,5860,1833,-0.735
CBS,,,,no,0.142,0.06,660,144,-1.255
CBSL,,,,no,0.202,0.085,936,206,-1.243
CBWD2,,,,no,7.208,5.768,33452,13941,-0.321
CBX1,,,,no,2.435,2.729,11302,6596,0.164
CBX3,,,,no,4.327,4.32,20080,10441,-0.002
CBX5,,,,no,3.072,2.86,14257,6912,-0.103
CBX7,,,,no,6.491,5.93,30125,14332,-0.13
CC2D1A,,,,no,2.814,1.546,13058,3736,-0.864
CCAR2,,,,no,11.672,6.973,54167,16852,-0.743
CCAT2,,,,no,0.087,0.142,405,343,0.702
CCBE1,,,,no,1.086,0.614,5042,1483,-0.824
CCDC102B,,,,no,0.154,0.22,715,531,0.512
CCDC103,,,,no,0.05,0.081,232,196,0.698
CCDC113,,,,no,0.156,0.189,726,457,0.273
CCDC124,,,,no,1.704,1.06,7908,2563,-0.684
CCDC136,,,,no,1.087,0.796,5044,1925,-0.448
CCDC137,,,,no,2.449,1.732,11364,4185,-0.5
CCDC14,,,,no,1.119,1.418,5191,3428,0.343
CCDC141,,,,no,0.581,1.014,2697,2450,0.803
CCDC170,,,,no,0.178,0.222,828,536,0.314
CCDC27,,,,no,0.037,0.051,170,123,0.474
CCDC33,,,,no,0.081,0.096,375,233,0.255
CCDC43,,,,no,1.846,1.776,8568,4293,-0.056
CCDC50,,,,no,2.565,2.241,11902,5416,-0.195
CCDC51,,,,no,0.799,0.439,3708,1062,-0.863
CCDC57,,,,no,1.072,0.938,4977,2266,-0.194
CCDC6,,,,no,7.347,3.471,34098,8389,-1.082
CCDC61,,,,no,0.741,0.634,3438,1532,-0.225
CCDC62,,,,no,0.184,0.263,854,636,0.516
CCDC7,,,,no,1.215,2.156,5640,5212,0.827
CCDC77,,,,no,1.551,1.018,7199,2460,-0.608
CCDC80,,,,no,1.245,0.832,5780,2012,-0.581
CCDC86,,,,no,0.791,0.763,3672,1844,-0.052
CCDC9,,,,no,8.315,5.275,38590,12750,-0.656
CCDC91,,,,no,3.195,3.223,14826,7789,0.013
CCK,,,,no,0.081,0.066,375,160,-0.288
CCKAR,,,,no,0.031,,145,0,
CCKBR,,,,no,0.061,0.093,281,224,0.614
CCL1,,,,no,0.076,0.076,355,183,-0.015
CCL11,,,,no,0.078,0.141,360,340,0.859
CCL13,,,,no,0.203,0.406,942,981,1.0
CCL14,,,,no,2.418,1.408,11221,3403,-0.78
CCL15,,,,no,0.059,0.064,275,155,0.114
CCL16,,,,no,0.243,0.163,1130,393,-0.582
CCL17,,,,no,0.354,0.127,1642,307,-1.478
CCL18,,,,no,2.623,2.624,12171,6343,0.001
CCL19,,,,no,4.95,7.824,22972,18910,0.661
CCL20,,,,no,0.178,0.15,827,362,-0.251
CCL21,,,,no,0.79,0.616,3664,1490,-0.357
CCL22,,,,no,1.272,0.892,5903,2155,-0.512
CCL23,,,,no,0.108,0.137,502,332,0.345
CCL24,,,,no,0.302,0.764,1402,1847,1.339
CCL25,,,,no,6.693,0.938,31062,2267,-2.835
CCL26,,,,no,0.125,0.198,582,479,0.66
CCL27,,,,no,0.4,0.171,1857,414,-1.224
CCL28,,,,no,0.368,0.453,1709,1094,0.298
CCL5,,,,no,93.621,96.949,434488,234313,0.05
CCL7,,,,no,0.055,0.091,253,220,0.74
CCL8,,,,no,0.089,0.257,415,620,1.52
CCN1,,,,no,0.187,0.302,869,731,0.692
CCN2,,,,no,1.489,1.559,6909,3769,0.067
CCN3,,,,no,0.089,0.105,412,253,0.238
CCN4,,,,no,0.161,0.182,747,440,0.178
CCN5,,,,no,,0.17,0,410,
CCNA1,,,,no,0.124,0.105,574,254,-0.235
CCNA2,,,,no,0.277,0.271,1287,655,-0.033
CCNB1,,,,no,0.715,0.48,3319,1160,-0.575
CCNB2,,,,no,0.312,0.206,1449,498,-0.6
CCNB3,,,,no,0.083,0.085,385,206,0.039
CCND1,,,,no,0.821,1.147,3809,2772,0.483
CCND2,,,,no,3.517,5.864,16320,14172,0.738
CCND3,,,,no,3.737,2.546,17341,6153,-0.554
CCNDBP1,,,,no,5.134,3.657,23826,8839,-0.489
CCNE1,,,,no,0.268,0.159,1243,385,-0.75
CCNO,,,,no,0.087,0.083,404,200,-0.073
CCNT1,,,,no,1.72,1.682,7981,4064,-0.032
CCNY,,,,no,4.999,4.225,23201,10212,-0.243
CCR1,,,,no,1.834,1.363,8510,3293,-0.428
CCR2,,,,no,0.517,1.124,2401,2716,1.119
CCR3,,,,no,0.038,0.065,175,158,0.794
CCR4,,,,no,1.19,0.793,5522,1917,-0.585
CCR5,,,,no,0.158,0.118,732,286,-0.415
CCR6,,,,no,1.509,0.817,7004,1975,-0.885
CCR7,,,,no,2.61,0.992,12114,2398,-1.396
CCR8,,,,no,0.261,0.125,1213,303,-1.06
CCR9,,,,no,3.038,1.99,14101,4809,-0.611
CCRL2,,,,no,0.332,0.45,1539,1087,0.44
CCT2,,,,no,7.082,5.482,32869,13250,-0.369
CCT3,,,,no,11.998,8.816,55681,21308,-0.445
CCT5,,,,no,7.631,7.1,35415,17161,-0.104
CCT6A,,,,no,5.99,4.025,27797,9729,-0.573
CCT7,,,,no,6.255,5.062,29031,12235,-0.305
CCT8,,,,no,10.835,10.248,50286,24768,-0.08
CD101,,,,no,0.146,0.162,676,391,0.151
CD109,,,,no,0.687,0.608,3188,1469,-0.177
CD14,,,,no,9.338,7.875,43339,19034,-0.246
CD151,,,,no,1.782,1.586,8272,3832,-0.169
CD160,,,,no,0.078,0.132,364,320,0.755
CD163,,,,no,7.615,3.747,35340,9056,-1.023
CD177,,,,no,0.239,0.293,1108,707,0.293
CD180,,,,no,0.392,0.391,1818,944,-0.004
CD19,,,,no,6.379,3.784,29604,9146,-0.753
CD1A,,,,no,0.119,0.269,551,651,1.182
CD1B,,,,no,0.136,0.348,629,840,1.359
CD1C,,,,no,0.317,0.346,1470,836,0.127
CD1D,,,,no,0.501,0.829,2324,2003,0.727
CD1E,,,,no,0.256,0.657,1187,1589,1.362
CD2,,,,no,5.87,6.687,27240,16162,0.188
CD200,,,,no,2.319,1.862,10762,4500,-0.317
CD207,,,,no,0.063,0.149,292,360,1.243
CD209,,,,no,1.554,1.594,7213,3852,0.036
CD22,,,,no,3.067,2.161,14232,5223,-0.505
CD226,,,,no,0.638,0.522,2963,1262,-0.29
CD24,,,,no,5.321,5.001,24694,12088,-0.089
CD244,,,,no,0.341,0.586,1581,1417,0.783
CD247,,,,no,6.645,7.79,30840,18828,0.229
CD248,,,,no,0.447,0.804,2073,1942,0.847
CD27,,,,no,3.733,3.641,17324,8799,-0.036
CD274,,,,no,1.122,0.899,5208,2172,-0.32
CD276,,,,no,1.054,1.321,4891,3193,0.326
CD28,,,,no,3.111,4.378,14436,10581,0.493
CD2AP,,,,no,3.782,3.456,17554,8353,-0.13
CD2BP2,,,,no,3.865,2.564,17937,6196,-0.592
CD300A,,,,no,2.925,2.318,13574,5602,-0.336
CD300C,,,,no,0.45,0.393,2088,950,-0.195
CD300E,,,,no,0.116,0.245,539,591,1.074
CD302,,,,no,2.226,1.935,10331,4677,-0.202
CD320,,,,no,0.093,0.104,433,251,0.155
CD33,,,,no,0.355,0.489,1647,1182,0.463
CD34,,,,no,1.934,3.482,8977,8415,0.848
CD36,,,,no,2.591,2.569,12024,6209,-0.012
CD38,,,,no,2.794,3.944,12966,9532,0.497
CD3E,,,,no,33.355,24.568,154796,59377,-0.441
CD3EAP,,,,no,0.284,0.298,1320,720,0.067
CD3G,,,,no,4.184,3.243,19418,7837,-0.368
CD4,,,,no,11.554,6.913,53620,16707,-0.741
CD40,,,,no,1.403,1.077,6511,2604,-0.381
CD40LG,,,,no,0.795,0.799,3689,1930,0.007
CD44,,,,no,9.984,9.665,46337,23358,-0.047
CD46,,,,no,6.364,4.582,29537,11073,-0.474
CD47,,,,no,6.979,5.981,32390,14456,-0.223
CD5,,,,no,5.523,5.293,25632,12792,-0.061
CD55,,,,no,3.3,1.638,15313,3958,-1.011
CD58,,,,no,1.336,1.382,6199,3339,0.049
CD59,,,,no,5.175,4.509,24015,10897,-0.199
CD5L,,,,no,3.717,2.131,17250,5150,-0.803
CD6,,,,no,4.666,5.481,21656,13246,0.232
CD68,,,,no,6.485,4.861,30095,11748,-0.416
CD69,,,,no,4.95,3.819,22972,9230,-0.374
CD7,,,,no,4.6,4.922,21346,11896,0.098
CD70,,,,no,0.914,0.532,4244,1285,-0.782
CD72,,,,no,1.349,0.647,6261,1564,-1.06
CD74,,,,no,46.075,30.027,213830,72571,-0.618
CD79A,,,,no,8.313,4.721,38581,11409,-0.816
CD79B,,,,no,3.321,2.048,15413,4950,-0.697
CD80,,,,no,0.325,0.238,1509,575,-0.451
CD82,,,,no,3.463,2.54,16073,6140,-0.447
CD83,,,,no,2.278,2.046,10571,4944,-0.155
CD84,,,,no,2.38,2.282,11046,5515,-0.061
CD86,,,,no,1.293,0.775,6003,1874,-0.738
CD8A,,,,no,10.524,22.256,48840,53789,1.081
CD8B,,,,no,1.438,1.578,6672,3813,0.134
CD9,,,,no,6.846,5.546,31773,13405,-0.304
CD93,,,,no,1.053,1.281,4888,3097,0.283
CD96,,,,no,5.547,5.64,25742,13631,0.024
CD99,,,,no,19.142,12.918,88835,31222,-0.567
CDA,,,,no,0.156,0.231,725,558,0.564
CDAN1,,,,no,0.779,0.806,3617,1949,0.049
CDC123,,,,no,3.066,2.503,14228,6050,-0.292
CDC14A,,,,no,2.95,2.224,13691,5376,-0.407
CDC20,,,,no,0.644,0.347,2990,839,-0.892
CDC25A,,,,no,0.204,0.159,947,384,-0.361
CDC25C,,,,no,0.141,0.159,655,384,0.171
CDC27,,,,no,3.214,4.181,14918,10106,0.379
CDC34,,,,no,4.554,2.669,21136,6451,-0.771
CDC37,,,,no,10.298,6.912,47791,16706,-0.575
CDC42,,,,no,9.594,7.743,44523,18714,-0.309
CDC42BPG,,,,no,3.963,2.404,18393,5811,-0.721
CDC6,,,,no,0.234,0.23,1085,557,-0.021
CDC73,,,,no,3.186,3.054,14784,7381,-0.061
CDCA2,,,,no,0.307,0.279,1424,675,-0.136
CDCA3,,,,no,0.288,0.245,1337,591,-0.237
CDCA7L,,,,no,4.103,3.028,19042,7318,-0.438
CDCP1,,,,no,0.508,0.247,2359,596,-1.044
CDH1,,,,no,8.095,4.528,37567,10943,-0.838
CDH11,,,,no,0.891,0.733,4137,1771,-0.283
CDH13,,,,no,0.345,0.501,1599,1211,0.54
CDH16,,,,no,0.062,0.056,286,136,-0.131
CDH2,,,,no,0.377,0.404,1751,977,0.1
CDH22,,,,no,0.074,0.089,342,216,0.278
CDH23,,,,no,0.874,0.728,4055,1759,-0.264
CDH3,,,,no,2.642,1.835,12261,4434,-0.526
CDH5,,,,no,0.728,0.557,3380,1345,-0.388
CDH6,,,,no,0.115,0.148,536,358,0.359
CDH7,,,,no,0.365,0.363,1695,878,-0.008
CDHR1,,,,no,0.304,0.235,1412,569,-0.37
CDHR2,,,,no,0.093,0.084,432,202,-0.155
CDK1,,,,no,0.252,0.316,1169,763,0.326
CDK10,,,,no,3.319,2.263,15405,5470,-0.553
CDK14,,,,no,1.62,0.945,7516,2284,-0.777
CDK16,,,,no,3.642,2.498,16902,6038,-0.544
CDK17,,,,no,2.947,3.507,13679,8476,0.251
CDK18,,,,no,1.185,0.813,5500,1964,-0.544
CDK2,,,,no,1.08,1.003,5012,2424,-0.107
CDK3,,,,no,0.778,1.036,3612,2505,0.413
CDK4,,,,no,1.306,0.871,6061,2104,-0.585
CDK5,,,,no,0.847,0.473,3929,1144,-0.839
CDK5RAP1,,,,no,2.943,2.159,13656,5218,-0.447
CDK6,,,,no,1.318,1.09,6115,2634,-0.274
CDK7,,,,no,1.485,0.956,6890,2310,-0.635
CDK8,,,,no,1.266,1.334,5876,3224,0.075
CDK9,,,,no,4.881,3.844,22651,9291,-0.344
CDKAL1,,,,no,2.883,2.789,13380,6740,-0.048
CDKL1,,,,no,0.162,0.19,750,458,0.23
CDKL3,,,,no,0.15,0.244,697,589,0.698
CDKN1A,,,,no,5.455,6.248,25314,15101,0.196
CDKN1B,,,,no,11.379,10.381,52808,25090,-0.132
CDKN1C,,,,no,0.657,0.862,3051,2084,0.391
CDKN2A,,,,no,0.577,0.314,2680,760,-0.877
CDKN2AIP,,,,no,1.54,1.478,7147,3571,-0.06
CDKN2B,,,,no,1.06,0.978,4918,2364,-0.116
CDKN3,,,,no,0.133,0.209,617,506,0.655
CDR2L,,,,no,0.318,0.335,1477,809,0.073
CDSN,,,,no,0.312,0.205,1448,495,-0.607
CDV3,,,,no,7.838,6.405,36376,15481,-0.291
CDX1,,,,no,0.16,0.12,743,289,-0.421
CDX2,,,,no,0.064,0.087,297,210,0.441
CEACAM1,,,,no,0.147,0.163,684,395,0.149
CEACAM3,,,,no,0.109,0.187,506,452,0.778
CEACAM8,,,,no,0.157,0.403,727,973,1.362
CEBPA,,,,no,2.672,4.072,12402,9842,0.608
CELSR1,,,,no,1.481,1.372,6872,3315,-0.11
CELSR2,,,,no,1.254,1.133,5818,2739,-0.146
CELSR3,,,,no,0.134,0.129,623,312,-0.056
CEMIP2,,,,no,2.067,1.147,9595,2772,-0.85
CENPA,,,,no,0.154,0.218,713,527,0.505
CENPB,,,,no,2.468,2.083,11452,5035,-0.244
CENPF,,,,no,0.447,0.437,2076,1055,-0.035
CENPV,,,,no,0.743,1.375,3449,3324,0.888
CEP112,,,,no,0.827,0.688,3839,1663,-0.266
CEP128,,,,no,0.567,0.457,2633,1105,-0.311
CEP170,,,,no,2.374,2.245,11017,5425,-0.081
CEP19,,,,no,0.303,0.425,1405,1028,0.491
CEP44,,,,no,1.407,1.212,6530,2929,-0.215
CEP55,,,,no,0.36,0.277,1670,670,-0.376
CEP85,,,,no,1.333,1.176,6187,2842,-0.181
CES1,,,,no,0.111,0.154,517,371,0.463
CETP,,,,no,2.655,2.212,12321,5347,-0.263
CFAP20,,,,no,1.027,0.959,4764,2317,-0.099
CFAP43,,,,no,0.161,0.249,747,602,0.63
CFAP46,,,,no,0.089,0.096,415,232,0.102
CFAP47,,,,no,0.049,0.079,227,190,0.685
CFB,,,,no,1.292,1.345,5998,3251,0.058
CFC1,,,,no,0.074,0.119,342,287,0.688
CFDP1,,,,no,2.563,2.914,11895,7042,0.185
CFH,,,,no,1.348,1.149,6254,2778,-0.229
CFHR1,,,,no,0.24,0.337,1114,815,0.49
CFL2,,,,no,0.515,0.64,2391,1546,0.312
CFLAR,,,,no,14.127,7.631,65561,18444,-0.888
CFP,,,,no,2.338,1.315,10851,3178,-0.83
CFTR,,,,no,0.187,0.161,869,388,-0.222
CGAS,,,,no,1.051,0.911,4879,2201,-0.207
CGB3,,,,no,0.131,0.103,607,250,-0.339
CGNL1,,,,no,3.907,3.325,18133,8036,-0.233
CGRRF1,,,,no,1.175,1.175,5455,2841,0.0
CH25H,,,,no,0.565,0.656,2624,1585,0.214
CHAD,,,,no,0.046,0.052,213,125,0.172
CHAF1A,,,,no,1.344,1.018,6238,2460,-0.401
CHAMP1,,,,no,2.226,1.634,10330,3948,-0.446
CHD3,,,,no,12.646,12.425,58689,30030,-0.025
CHD5,,,,no,0.118,0.122,546,294,0.048
CHD7,,,,no,1.748,1.615,8110,3903,-0.114
CHEK1,,,,no,0.495,0.454,2298,1098,-0.124
CHEK2,,,,no,0.913,1.048,4237,2533,0.199
CHFR,,,,no,4.628,3.906,21480,9440,-0.245
CHGA,,,,no,0.311,0.24,1444,580,-0.375
CHIT1,,,,no,0.277,0.226,1284,547,-0.29
CHKA,,,,no,1.47,1.143,6824,2762,-0.364
CHODL,,,,no,0.118,0.211,548,510,0.838
CHRAC1,,,,no,0.621,0.681,2882,1647,0.134
CHRDL2,,,,no,0.055,0.079,253,190,0.528
CHRM1,,,,no,0.023,,105,0,
CHRM2,,,,no,0.03,0.067,137,161,1.174
CHRM3,,,,no,0.041,0.043,192,104,0.057
CHRM4,,,,no,0.332,0.218,1541,528,-0.604
CHRM5,,,,no,0.042,0.066,196,160,0.648
CHRNA1,,,,no,0.405,0.442,1879,1068,0.126
CHRNA2,,,,no,0.066,0.089,306,214,0.425
CHRNA3,,,,no,0.121,0.097,563,235,-0.319
CHRNA5,,,,no,0.1,0.19,466,460,0.923
CHRNA6,,,,no,0.156,0.201,726,487,0.365
CHRNA7,,,,no,0.134,0.139,622,336,0.053
CHRNB1,,,,no,1.142,0.88,5300,2128,-0.375
CHRNB2,,,,no,0.066,0.091,306,220,0.465
CHRNB3,,,,no,0.025,0.045,115,109,0.864
CHRNB4,,,,no,0.071,0.092,328,222,0.378
CHST4,,,,no,0.137,0.127,635,308,-0.103
CHST8,,,,no,0.038,,177,0,
CHUK,,,,no,1.238,1.36,5747,3288,0.136
CIDEC,,,,no,0.18,0.264,834,637,0.553
CIITA,,,,no,8.247,9.514,38273,22993,0.206
CILP2,,,,no,0.048,0.049,222,118,0.029
CINP,,,,no,2.169,1.835,10065,4436,-0.241
CIP2A,,,,no,0.787,0.928,3654,2244,0.238
CISD2,,,,no,2.045,2.05,9492,4955,0.003
CKAP2,,,,no,2.375,1.543,11020,3730,-0.622
CKAP4,,,,no,2.673,2.53,12407,6114,-0.08
CKAP5,,,,no,3.691,3.182,17131,7690,-0.214
CKS2,,,,no,0.32,0.461,1484,1115,0.529
CLCN3,,,,no,2.232,1.677,10357,4052,-0.413
CLCN4,,,,no,1.296,0.548,6013,1324,-1.242
CLCN5,,,,no,0.279,0.228,1295,550,-0.294
CLDN1,,,,no,6.04,3.32,28031,8024,-0.863
CLDN18,,,,no,0.117,0.084,543,203,-0.478
CLDN5,,,,no,4.624,2.479,21458,5991,-0.899
CLDN7,,,,no,0.642,0.79,2981,1909,0.298
CLEC10A,,,,no,0.278,0.549,1289,1326,0.982
CLEC12A,,,,no,0.631,0.642,2927,1552,0.026
CLEC14A,,,,no,0.722,0.814,3349,1968,0.174
CLEC16A,,,,no,2.166,1.996,10054,4824,-0.118
CLEC2A,,,,no,0.071,0.15,328,362,1.084
CLEC4A,,,,no,1.299,1.456,6028,3520,0.165
CLEC4C,,,,no,0.124,0.215,577,519,0.788
CLEC4D,,,,no,0.158,0.253,735,612,0.677
CLEC4M,,,,no,0.401,0.353,1860,854,-0.182
CLEC5A,,,,no,0.099,0.23,458,555,1.218
CLEC6A,,,,no,0.056,0.109,259,264,0.969
CLEC7A,,,,no,1.161,1.018,5386,2461,-0.189
CLEC9A,,,,no,0.887,0.918,4116,2219,0.05
CLGN,,,,no,0.145,0.175,672,422,0.27
CLIC3,,,,no,1.185,0.823,5500,1988,-0.527
CLIC4,,,,no,3.854,2.26,17884,5463,-0.77
CLIC6,,,,no,2.443,1.584,11336,3829,-0.625
CLK2,,,,no,4.376,3.805,20310,9196,-0.202
CLK3,,,,no,4.412,3.55,20477,8580,-0.314
CLK4,,,,no,3.343,2.535,15513,6127,-0.399
CLN3,,,,no,0.914,0.961,4244,2323,0.072
CLN5,,,,no,1.151,1.538,5340,3716,0.418
CLNK,,,,no,1.565,0.883,7265,2135,-0.825
CLOCK,,,,no,1.245,1.274,5780,3079,0.033
CLPTM1L,,,,no,7.536,6.444,34972,15575,-0.226
CLPX,,,,no,5.631,4.461,26135,10782,-0.336
CLSTN1,,,,no,5.381,3.426,24974,8281,-0.651
CLSTN3,,,,no,1.711,1.323,7941,3197,-0.371
CLTC,,,,no,13.336,10.576,61890,25560,-0.335
CMA1,,,,no,0.065,0.059,303,143,-0.142
CMKLR1,,,,no,1.936,1.724,8986,4166,-0.168
CMSS1,,,,no,1.287,1.233,5974,2981,-0.062
CMTM8,,,,no,1.044,1.16,4843,2804,0.153
CMYA5,,,,no,0.537,0.504,2491,1219,-0.09
CNDP1,,,,no,0.025,,118,0,
CNGB1,photoreceptor_retinal,Restricted to retinal photoreceptors / RPE; not present in pancreas or LN.,,yes,0.037,0.05,170,122,0.463
CNGB3,photoreceptor_retinal,Restricted to retinal photoreceptors / RPE; not present in pancreas or LN.,,yes,0.05,0.095,234,230,0.916
CNIH4,,,,no,0.809,0.649,3756,1569,-0.318
CNKSR3,,,,no,0.801,0.499,3717,1206,-0.683
CNMD,,,,no,0.062,0.11,286,266,0.837
CNNM1,,,,no,0.046,0.082,214,198,0.829
CNNM3,,,,no,4.501,3.627,20890,8766,-0.312
CNOT1,,,,no,6.137,4.933,28480,11922,-0.315
CNP,,,,no,2.422,2.164,11241,5230,-0.163
CNR1,,,,no,0.371,0.247,1723,598,-0.585
CNR2,,,,no,1.232,1.152,5717,2785,-0.096
CNRIP1,,,,no,0.84,1.183,3898,2858,0.494
CNST,,,,no,2.298,1.434,10663,3465,-0.68
CNTF,,,,no,0.347,0.39,1611,943,0.169
CNTLN,,,,no,0.677,0.705,3144,1705,0.058
CNTN2,,,,no,0.057,0.064,265,155,0.168
CNTN6,,,,no,0.089,0.12,415,291,0.429
CNTNAP1,,,,no,0.904,0.936,4194,2263,0.051
CNTNAP3,,,,no,1.779,1.117,8258,2699,-0.672
CNTNAP4,,,,no,0.051,0.065,239,158,0.344
CNTROB,,,,no,2.395,1.864,11114,4504,-0.362
COASY,,,,no,2.717,1.98,12611,4786,-0.457
COBL,,,,no,0.437,0.418,2026,1011,-0.062
COBLL1,,,,no,0.908,0.737,4213,1782,-0.3
COCH,,,,no,0.21,0.206,974,499,-0.024
COIL,,,,no,1.537,1.619,7134,3912,0.074
COL10A1,bone_cartilage_tooth,"Bone matrix, hypertrophic chondrocyte, or tooth-specific.",,yes,0.063,0.095,293,229,0.586
COL11A1,bone_cartilage_tooth,"Bone matrix, hypertrophic chondrocyte, or tooth-specific.",,yes,0.083,0.188,384,454,1.183
COL17A1,,,,no,7.773,5.282,36072,12766,-0.557
